Year,EventId,PlayerCode,Date,EventName,EventType,EventCountry,PlayerRank,PointsGained,PrizeUsd,SglDrawSize,Surface,TotPrizeMoney
2024,692,w09g,2024-04-15,Tallahassee,CH,"FL, U.S.A.",102,0,800,32,Clay,82000
2024,5069,w09g,2024-04-08,Sarasota,CH,"FL, U.S.A.",102,0,800,32,Clay,82000
2024,717,w09g,2024-04-01,Houston,250,"TX, U.S.A.",96,25,11610,28,Clay,661585
2024,403,w09g,2024-03-18,ATP Masters 1000 Miami,1000,"FL, U.S.A.",94,10,13500,96,Hard,8995555
2024,9167,w09g,2024-03-11,Phoenix,CH,"AZ, U.S.A.",94,0,2225,32,Hard,225500
2024,404,w09g,2024-03-04,ATP Masters 1000 Indian Wells,1000,"CA, U.S.A.",94,10,30050,96,Hard,9495555
2024,580,w09g,2024-01-15,Australian Open,GS,Australia,57,10,80220,128,Hard,38923200
2024,301,w09g,2024-01-08,Auckland,250,New Zealand,54,0,7095,28,Hard,661585
2024,339,w09g,2024-01-01,Brisbane,250,Australia,53,0,6400,32,Hard,661585
2024,4787,ki95,2024-11-04,Belgrade,250,Serbia,53,0,8712,28,Hard,750000
2024,352,ki95,2024-10-28,ATP Masters 1000 Paris,1000,France,55,66,33826,56,Hard,5950575
2024,337,ki95,2024-10-21,Vienna,500,Austria,58,50,39259,32,Hard,2470310
2024,429,ki95,2024-10-14,Stockholm,250,Sweden,55,50,22810,28,Hard,690135
2024,5014,ki95,2024-09-30,ATP Masters 1000 Shanghai,1000,China,55,30,34550,96,Hard,8995555
2024,747,ki95,2024-09-23,Beijing,500,China,55,0,29015,32,Hard,3720165
2024,4801,ki95,2024-09-09,G1 SRB vs GRE,DC,Serbia,53,0,0,4,Hard,0
2024,560,ki95,2024-08-26,US Open,GS,"NY, U.S.A.",54,50,140000,128,Hard,33977000
2024,422,ki95,2024-08-12,ATP Masters 1000 Cincinnati,1000,"OH, U.S.A.",51,10,27165,56,Hard,6795555
2024,421,ki95,2024-08-05,ATP Masters 1000 Canada,1000,Canada,50,10,27165,56,Hard,6795555
2024,418,ki95,2024-07-29,Washington,500,"DC, U.S.A.",51,50,28055,48,Hard,2100230
2024,6116,ki95,2024-07-22,Atlanta,250,"GA, U.S.A.",52,0,8110,28,Hard,756020
2024,540,ki95,2024-07-01,Wimbledon,GS,Great Britain,52,100,180824,128,Grass,20747000
2024,741,ki95,2024-06-24,Eastbourne,250,Great Britain,53,50,23918,28,Grass,740160
2024,500,ki95,2024-06-17,Halle,500,Germany,54,0,18825,32,Grass,2255655
2024,440,ki95,2024-06-10,'s-Hertogenbosch,250,Netherlands,53,0,7990,28,Grass,690135
2024,520,ki95,2024-05-27,Roland Garros,GS,France,57,50,119559,128,Clay,24961000
2024,416,ki95,2024-05-06,ATP Masters 1000 Rome,1000,Italy,58,50,55602,96,Clay,7877020
2024,1536,ki95,2024-04-22,ATP Masters 1000 Madrid,1000,Spain,66,30,32240,96,Clay,7877020
2024,4462,ki95,2024-04-15,Bucharest,250,Romania,60,25,10817,28,Clay,579320
2024,410,ki95,2024-04-08,ATP Masters 1000 Monte-Carlo,1000,Monaco,66,50,46520,56,Clay,5950575
2024,7290,ki95,2024-04-01,Estoril,250,Portugal,50,0,6707,28,Clay,579320
2024,403,ki95,2024-03-18,ATP Masters 1000 Miami,1000,"FL, U.S.A.",46,10,23250,96,Hard,8995555
2024,404,ki95,2024-03-04,ATP Masters 1000 Indian Wells,1000,"CA, U.S.A.",47,10,30050,96,Hard,9495555
2024,807,ki95,2024-02-26,Acapulco,500,Mexico,53,100,60440,32,Hard,2206080
2024,7480,ki95,2024-02-19,Los Cabos,250,Mexico,54,0,9815,28,Hard,915245
2024,499,ki95,2024-02-12,Delray Beach,250,"FL, U.S.A.",40,0,7095,28,Hard,661585
2024,4490,ki95,2024-01-29,SRB vs SLO Qualifier,DC,Serbia,41,0,0,4,Clay,0
2024,580,ki95,2024-01-15,Australian Open,GS,Australia,60,200,250688,128,Hard,38923200
2024,8998,ki95,2024-01-08,Adelaide,250,Australia,55,25,11610,28,Hard,661585
2024,336,ki95,2024-01-01,Hong Kong,250,Hong Kong,54,25,11610,28,Hard,661585
2024,352,tc61,2024-10-28,ATP Masters 1000 Paris,1000,France,28,200,161585,56,Hard,5950575
2024,5014,tc61,2024-09-30,ATP Masters 1000 Shanghai,1000,China,28,10,34550,96,Hard,8995555
2024,329,tc61,2024-09-23,Tokyo,500,Japan,29,50,26595,32,Hard,1818380
2024,4836,tc61,2024-09-09,AUS vs ESP Group B RR,DC,Spain,29,0,0,2,Hard,0
2024,560,tc61,2024-08-26,US Open,GS,"NY, U.S.A.",32,200,325000,128,Hard,33977000
2024,422,tc61,2024-08-12,ATP Masters 1000 Cincinnati,1000,"OH, U.S.A.",32,100,91435,56,Hard,6795555
2024,421,tc61,2024-08-05,ATP Masters 1000 Canada,1000,Canada,30,50,49030,56,Hard,6795555
2024,418,tc61,2024-07-29,Washington,500,"DC, U.S.A.",33,100,53240,48,Hard,2100230
2024,6116,tc61,2024-07-22,Atlanta,250,"GA, U.S.A.",41,165,67070,28,Hard,756020
2024,540,tc61,2024-07-01,Wimbledon,GS,Great Britain,40,50,117599,128,Grass,20747000
2024,311,tc61,2024-06-17,London / Queen's Club,500,Great Britain,43,200,129415,32,Grass,2255655
2024,440,tc61,2024-06-10,'s-Hertogenbosch,250,Netherlands,37,0,7990,28,Grass,690135
2024,520,tc61,2024-05-27,Roland Garros,GS,France,36,10,79344,128,Clay,24961000
2024,416,tc61,2024-05-06,ATP Masters 1000 Rome,1000,Italy,35,10,32560,96,Clay,7877020
2024,1536,tc61,2024-04-22,ATP Masters 1000 Madrid,1000,Spain,33,10,32240,96,Clay,7877020
2024,425,tc61,2024-04-15,Barcelona,500,Spain,33,50,39558,48,Clay,2782960
2024,717,tc61,2024-04-01,Houston,250,"TX, U.S.A.",33,50,19995,28,Clay,661585
2024,403,tc61,2024-03-18,ATP Masters 1000 Miami,1000,"FL, U.S.A.",34,10,23250,96,Hard,8995555
2024,404,tc61,2024-03-04,ATP Masters 1000 Indian Wells,1000,"CA, U.S.A.",33,10,30050,96,Hard,9495555
2024,807,tc61,2024-02-26,Acapulco,500,Mexico,32,0,17210,32,Hard,2206080
2024,7480,tc61,2024-02-19,Los Cabos,250,Mexico,40,250,139190,28,Hard,915245
2024,499,tc61,2024-02-12,Delray Beach,250,"FL, U.S.A.",42,50,19995,28,Hard,661585
2024,424,tc61,2024-02-05,Dallas,250,"TX, U.S.A.",44,50,22850,28,Hard,756020
2024,580,tc61,2024-01-15,Australian Open,GS,Australia,47,50,120330,128,Hard,38923200
2024,8998,tc61,2024-01-08,Adelaide,250,Australia,47,25,11610,28,Hard,661585
2024,339,tc61,2024-01-01,Brisbane,250,Australia,55,100,32150,32,Hard,661585
2024,901,ae14,2024-11-18,Davis Cup Finals,DC,Spain,88,0,0,128,Hard,0
