,playercode,EventId,TotPrizeMoney,Same_Nationality,iscritto,ha_pts_def,EventType_500,Surface_Grass,Surface_Hard
215,m0ci,747,4016050,0,1,1,1,0,1
216,m0ci,329,2226470,0,0,1,1,0,1
217,m0ci,6242,798335,0,0,1,0,0,1
218,m0ci,319,596035,0,0,0,0,0,0
219,m0ci,418,2396115,0,1,0,1,0,1
220,m0ci,439,596035,0,0,0,0,0,0
221,m0ci,8994,596035,0,0,1,0,1,0
222,m0ci,741,756875,0,1,1,0,1,0
223,m0ci,311,2522220,0,0,0,1,1,0
224,m0ci,500,2522220,0,1,0,1,1,0
225,m0ci,495,3237670,0,1,1,1,0,1
226,m0ci,807,2585410,0,0,1,1,0,1
227,m0ci,8996,680140,0,0,1,0,0,0
228,m0ci,451,2760000,0,1,0,1,0,1
229,m0ci,6932,2396115,0,0,0,1,0,0
230,m0ci,407,2401550,0,1,0,1,0,1
231,m0ci,424,2760000,0,0,0,1,0,1
232,m0ci,8998,680140,0,0,0,0,0,1
233,m0ci,301,680140,0,0,0,0,0,1
234,kd46,341,596035,0,0,1,0,0,1
235,kd46,5100,766715,0,0,1,0,0,1
236,kd46,747,4016050,0,0,0,1,0,1
237,kd46,329,2226470,0,0,0,1,0,1
238,kd46,7581,1190210,0,0,0,0,0,1
239,kd46,4713,1019185,0,0,0,0,0,1
240,kd46,7581,1190210,0,0,0,0,0,1
241,kd46,4713,1019185,0,0,0,0,0,1
242,kd46,8994,596035,0,0,1,0,1,0
243,kd46,741,756875,0,0,1,0,1,0
244,kd46,414,2158560,0,0,1,1,0,0
245,kd46,322,596035,0,0,1,0,0,0
246,kd46,308,2500000,0,0,1,1,0,0
247,kd46,425,2889200,0,0,1,1,0,0
248,kd46,495,3237670,0,0,1,1,0,1
249,kd46,807,2585410,0,0,1,1,0,1
250,kd46,8996,680140,0,0,1,0,0,0
251,kd46,451,2760000,0,0,1,1,0,1
252,kd46,6932,2396115,0,0,1,1,0,0
253,kd46,8998,680140,1,1,0,0,0,1
254,kd46,301,680140,0,0,0,0,0,1
255,k09f,341,596035,0,0,0,0,0,1
256,k09f,5100,766715,0,0,0,0,0,1
257,k09f,328,2523045,0,0,0,1,0,1
258,k09f,337,2736875,0,0,0,1,0,1
259,k09f,747,4016050,0,0,0,1,0,1
260,k09f,329,2226470,0,0,0,1,0,1
261,k09f,319,596035,0,0,1,0,0,0
262,k09f,418,2396115,0,0,1,1,0,1
263,k09f,439,596035,0,0,1,0,0,0
264,k09f,495,3237670,0,1,1,1,0,1
265,k09f,807,2585410,0,0,1,1,0,1
266,k09f,8996,680140,0,0,1,0,0,0
267,k09f,8998,680140,0,1,1,0,0,1
268,k09f,301,680140,0,0,1,0,0,1
269,o483,341,596035,0,0,1,0,0,1
270,o483,5100,766715,0,0,1,0,0,1
271,o483,328,2523045,0,0,0,1,0,1
272,o483,337,2736875,0,0,0,1,0,1
273,o483,747,4016050,0,1,1,1,0,1
274,o483,329,2226470,0,0,1,1,0,1
275,o483,7581,1190210,0,1,1,0,0,1
276,o483,4713,1019185,0,0,1,0,0,1
277,o483,308,2500000,0,1,1,1,0,0
278,o483,425,2889200,0,0,1,1,0,0
279,o483,495,3237670,0,1,1,1,0,1
280,o483,807,2585410,0,0,1,1,0,1
281,o483,8996,680140,0,0,1,0,0,0
282,o483,451,2760000,0,1,0,1,0,1
283,o483,6932,2396115,0,0,0,1,0,0
284,o483,8998,680140,1,1,0,0,0,1
285,o483,301,680140,0,0,0,0,0,1
286,rh24,440,706850,0,0,0,0,1,0
287,rh24,321,751630,0,0,0,0,1,0
288,rh24,414,2158560,0,0,1,1,0,0
289,rh24,322,596035,0,0,1,0,0,0
290,rh24,495,3237670,0,0,1,1,0,1
291,rh24,807,2585410,0,0,1,1,0,1
292,rh24,8996,680140,0,0,1,0,0,0
293,rh24,451,2760000,0,0,1,1,0,1
294,rh24,6932,2396115,0,0,1,1,0,0
295,rh24,496,740730,0,0,1,0,0,1
296,rh24,499,680140,0,0,1,0,0,1
