Player Id,Player Name,Nationality
e698,G. Elias,por
a0fc,M. Arnaldi,ita
hb71,H. Hurkacz,pol
k0ah,S. Korda,usa
f0dm,A. Fery,gbr
a09t,D. Added,fra
kh56,Z. Kolar,cze
mv14,A. Molcan,svk
s0wt,J. Schwaerzler,aut
bt72,N. Borges,por
g0ib,T. Gentzsch,ger
b0qc,G. Bailly,bel
d0dt,M. Damm,usa
s0kt,S. Sakellaridis,gre
j0b5,G. Johns,usa
kc29,N. Kicker,arg
z0bz,M. Zheng,usa
p0gn,T. Paris,fra
rg42,A. Rybakov,usa
s0ia,D. Sweeny,aus
g0by,D. Glinka,est
b0lq,P. Bar Biryukov,rus
z0ak,T. Zink,usa
j0dz,R. Jodar,esp
b0fi,P. Boscardin Dias,bra
rh62,M. Rosenkranz,ger
m0gz,G. Mpetshi Perricard,fra
a0f3,F. Andaloro,ita
p09z,A. Popyrin,aus
b0no,D. Blanch,usa
u120,K. Uchida,jpn
bu10,J. Berrettini,ita
s0tm,T. Samuel,gbr
g0ao,A. Gray,gbr
b0bu,F. Bax,fra
ke64,S. Kozlov,usa
n0db,A. Nedic,bih
