"playercode","EventId","EventType","Surface","TotPrizeMoney","Same_Nationality","iscritto","ha_pts_def"
kb05,499,"250",Hard,661585,0,0,0
kb05,311,"500",Grass,2255655,0,0,0
kb05,424,"250",Hard,756020,0,0,0
kb05,341,"250",Hard,579320,0,0,0
kb05,496,"250",Hard,724015,0,1,0
kb05,9410,"250",Hard,1036700,0,0,0
kb05,4713,"250",Hard,1000630,0,0,0
kb05,315,"250",Grass,661585,0,0,0
kb05,7694,"250",Clay,579320,0,0,0
kb05,360,"250",Clay,579320,0,0,0
kb05,316,"250",Clay,579320,0,0,0
kb05,375,"250",Hard,579320,0,1,0
f510,328,"500",Hard,2385100,0,1,0
f510,7485,"250",Hard,690135,0,0,0
f510,329,"500",Hard,1818380,0,0,0
f510,6242,"250",Hard,779780,0,0,0
f510,314,"250",Clay,579320,0,1,0
f510,440,"250",Grass,690135,0,0,0
f510,308,"250",Clay,579320,0,0,0
f510,7290,"250",Clay,579320,0,1,0
f510,495,"500",Hard,2941785,0,0,0
f510,451,"250",Hard,1395875,0,0,0
f510,407,"500",Hard,2134985,0,0,0
f510,301,"250",Hard,661585,0,1,0
f510,336,"250",Hard,661585,0,0,0
f510,4787,"250",Hard,750000,0,0,0
f510,747,"500",Hard,3720165,0,0,0
f510,7581,"250",Hard,1171655,0,0,0
f510,319,"250",Clay,579320,0,0,0
f510,8994,"250",Grass,932135,0,0,0
f510,500,"500",Grass,2255655,0,0,0
f510,321,"250",Grass,734915,0,0,0
f510,322,"250",Clay,579320,0,0,0
f510,8996,"250",Clay,661585,0,1,0
f510,6932,"500",Clay,2100230,0,1,0
f510,506,"250",Clay,642615,0,1,0
f510,9158,"250",Clay,562345,0,0,0
f510,8998,"250",Hard,661585,0,0,0
f510,339,"250",Hard,661585,0,0,0
f510,337,"500",Hard,2470310,0,0,0
f510,439,"250",Clay,579320,0,0,0
f510,414,"500",Clay,1891995,0,0,0
f510,425,"500",Clay,2782960,0,0,0
f510,807,"500",Hard,2206080,0,0,0
f510,418,"500",Hard,2100230,0,0,0
f510,6116,"250",Hard,756020,0,0,0
f510,717,"250",Clay,661585,0,0,0
f510,429,"250",Hard,690135,0,0,0
f510,741,"250",Grass,740160,0,0,0
f510,4462,"250",Clay,579320,0,0,0
f510,7480,"250",Hard,915245,0,0,0
f510,499,"250",Hard,661585,0,0,0
f510,311,"500",Grass,2255655,0,0,0
f510,424,"250",Hard,756020,0,0,0
f510,341,"250",Hard,579320,0,1,0
f510,496,"250",Hard,724015,0,0,0
f510,9410,"250",Hard,1036700,0,0,0
f510,4713,"250",Hard,1000630,0,0,0
f510,315,"250",Grass,661585,0,0,0
f510,7694,"250",Clay,579320,0,0,0
f510,360,"250",Clay,579320,0,0,0
f510,316,"250",Clay,579320,0,0,0
f510,375,"250",Hard,579320,0,0,0
hh06,328,"500",Hard,2385100,0,1,0
hh06,7485,"250",Hard,690135,0,0,0
hh06,329,"500",Hard,1818380,0,0,0
hh06,6242,"250",Hard,779780,0,1,0
hh06,314,"250",Clay,579320,0,1,0
hh06,440,"250",Grass,690135,0,1,0
hh06,308,"250",Clay,579320,0,1,0
hh06,7290,"250",Clay,579320,0,0,0
hh06,495,"500",Hard,2941785,0,1,0
hh06,451,"250",Hard,1395875,0,0,0
hh06,407,"500",Hard,2134985,0,1,0
hh06,301,"250",Hard,661585,0,0,0
hh06,336,"250",Hard,661585,0,0,0
hh06,4787,"250",Hard,750000,0,0,0
hh06,747,"500",Hard,3720165,0,0,0
hh06,7581,"250",Hard,1171655,0,0,0
hh06,319,"250",Clay,579320,0,1,0
hh06,8994,"250",Grass,932135,0,0,0
hh06,500,"500",Grass,2255655,0,0,0
hh06,321,"250",Grass,734915,0,0,0
hh06,322,"250",Clay,579320,0,1,0
hh06,8996,"250",Clay,661585,0,0,0
hh06,6932,"500",Clay,2100230,0,0,0
hh06,506,"250",Clay,642615,0,0,0
hh06,9158,"250",Clay,562345,0,0,0
hh06,8998,"250",Hard,661585,0,1,0
hh06,339,"250",Hard,661585,0,0,0
hh06,337,"500",Hard,2470310,0,0,0
hh06,439,"250",Clay,579320,0,1,0
hh06,414,"500",Clay,1891995,0,0,0
hh06,425,"500",Clay,2782960,0,0,0
hh06,807,"500",Hard,2206080,0,0,0
hh06,418,"500",Hard,2100230,0,0,0
hh06,6116,"250",Hard,756020,0,0,0
hh06,717,"250",Clay,661585,0,0,0
hh06,429,"250",Hard,690135,0,0,0
hh06,741,"250",Grass,740160,0,1,0
hh06,4462,"250",Clay,579320,0,0,0
hh06,7480,"250",Hard,915245,0,0,0
hh06,499,"250",Hard,661585,0,0,0
hh06,311,"500",Grass,2255655,0,0,0
hh06,424,"250",Hard,756020,0,0,0
hh06,341,"250",Hard,579320,0,0,0
hh06,496,"250",Hard,724015,0,1,0
hh06,9410,"250",Hard,1036700,0,0,0
hh06,4713,"250",Hard,1000630,0,0,0
hh06,315,"250",Grass,661585,0,0,0
