Date,Tournament,Country,Category,Surface,PrizeMoney
2025-01-06,Auckland OpenAuckland,New Zealand,ATP 250,Hard,"766,290"
2025-01-06,Adelaide InternationalAdelaide,Australia,ATP 250,Hard,"766,290"
2025-01-27,Open OccitanieMontpellier,France,ATP 250,Hard,"622,850"
2025-02-03,Dallas OpenDallas,United States,ATP 500,Hard,"3,035,960"
2025-02-03,Rotterdam OpenRotterdam,Netherlands,ATP 500,Hard,"2,563,150"
2025-02-10,Argentina OpenBuenos Aires,Argentina,ATP 250,Clay,"688,985"
2025-02-10,Open 13Marseille,France,ATP 250,Hard,"767,545"
2025-02-10,Delray Beach OpenDelray Beach,United States,ATP 250,Hard,"710,735"
2025-02-17,Qatar OpenDoha,Qatar,ATP 500,Hard,"3,035,960"
2025-02-17,Rio OpenRio de Janeiro,Brazil,ATP 500,Clay,"2,574,145"
2025-02-24,Dubai Tennis ChampionshipsDubai,United Arab Emirates,ATP 500,Hard,"3,415,700"
2025-02-24,Mexican OpenAcapulco,Mexico,ATP 500,Hard,"2,763,440"
2025-02-24,Chile OpenSantiago,Chile,ATP 250,Clay,"710,735"
2025-03-31,U.S. Men's Clay Court ChampionshipsHouston,United States,ATP 250,Clay,"710,735"
2025-03-31,Grand Prix Hassan IIMarrakesh,Morocco,ATP 250,Clay,"622,850"
2025-03-31,Romanian OpenBucharest,Romania,ATP 250,Clay,"622,850"
2025-04-14,Barcelona OpenBarcelona,Spain,ATP 500,Clay,"3,050,800"
2025-04-14,Bavarian International Tennis ChampionshipsMunich,Germany,ATP 500,Clay,"2,747,360"
2025-05-19,Hamburg OpenHamburg,Germany,ATP 500,Clay,"2,320,160"
2025-05-19,Geneva OpenGeneva,Switzerland,ATP 250,Clay,"622,850"
2025-06-09,Stuttgart OpenStuttgart,Germany,ATP 250,Grass,"778,445"
2025-06-09,Rosmalen Grass Court Championships's-Hertogenbosch,Netherlands,ATP 250,Grass,"733,665"
2025-06-16,Queen's Club ChampionshipsLondon,United Kingdom,ATP 500,Grass,"2,683,820"
2025-06-16,Halle OpenHalle,Germany,ATP 500,Grass,"2,683,820"
2025-06-23,Mallorca ChampionshipsSanta Ponsa,Spain,ATP 250,Grass,"622,850"
2025-06-23,Eastbourne OpenEastbourne,United Kingdom,ATP 250,Grass,"783,690"
2025-07-14,Los Cabos OpenLos Cabos,Mexico,ATP 250,Hard,"920,480"
2025-07-14,Swedish OpenBåstad,Sweden,ATP 250,Clay,"622,850"
2025-07-14,Swiss OpenGstaad,Switzerland,ATP 250,Clay,"622,850"
2025-07-21,Washington OpenWashington,United States,ATP 500,Hard,"2,574,145"
2025-07-21,Austrian OpenKitzbühel,Austria,ATP 250,Clay,"622,850"
2025-07-21,Croatia OpenUmag,Croatia,ATP 250,Clay,"622,850"
2025-08-18,Winston-Salem OpenWinston-Salem,United States,ATP 250,Hard,"828,925"
2025-09-15,Chengdu OpenChengdu,China,ATP 250,Hard,"1,220,805"
2025-09-15,Hangzhou OpenHangzhou,China,ATP 250,Hard,"1,049,780"
2025-09-22,Japan OpenTokyo,Japan,ATP 500,Hard,"2,404,500"
2025-09-22,China OpenBeijing,China,ATP 500,Hard,"4,194,080"
2025-10-13,Almaty OpenAlmaty,Kazakhstan,ATP 250,Hard,"1,085,850"
2025-10-13,Stockholm OpenStockholm,Sweden,ATP 250,Hard,"733,665"
2025-10-13,European OpenBrussels,Belgium,ATP 250,Hard,"733,665"
2025-10-20,Vienna OpenVienna,Austria,ATP 500,Hard,"2,898,475"
2025-10-20,Swiss IndoorsBasel,Switzerland,ATP 500,Hard,"2,684,645"
2025-11-03,Hellenic ChampionshipAthens,Greece,ATP 250,Hard,"793,530"
2025-11-03,Moselle OpenMetz,France,ATP 250,Hard,"622,850"
2025-12-30,Hong Kong SAR,Hong Kong SAR,ATP 250,Hard,"766,290"
2025-12-30,Brisbane InternationalBrisbane,Australia,ATP 250,Hard,"680,140"
