"playercode","EventId","iscritto","Year","date_tournament","EventName","EventType","EventCountry","Surface","TotPrizeMoney","Same_Nationality","Rank","ha_pts_def"
hb64,407,1,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,62,1
hb64,375,1,2023,"2023-02-06",Montpellier,250,France,Hard,562815,1,70,1
hb64,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,64,1
hb64,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,70,1
hb64,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,62,1
hb64,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,70,1
lb66,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,54,1
lb66,407,1,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,54,1
lb66,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,54,1
w09g,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,39,0
w09g,301,1,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,66,1
w09g,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,39,0
w09g,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,43,0
w09g,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,66,1
w09g,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,43,0
w09g,499,1,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,1,39,0
w09g,424,1,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,1,43,0
ge33,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,68,1
ge33,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,83,1
ge33,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,68,1
ge33,9158,1,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,83,1
ge33,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,83,1
g628,375,1,2023,"2023-02-06",Montpellier,250,France,Hard,562815,1,45,1
g628,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,45,1
g628,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,45,1
y268,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,72,0
y268,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,77,1
y268,407,1,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,72,0
y268,375,1,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,73,1
y268,8998,1,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,77,1
y268,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,73,1
y268,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,72,0
y268,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,73,1
db63,506,1,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,57,0
db63,301,1,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,70,1
db63,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,57,0
db63,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,70,1
db63,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,57,0
mj08,506,1,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,78,1
mj08,301,1,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,69,1
mj08,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,78,1
mj08,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,78,0
mj08,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,69,1
mj08,9158,1,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,78,0
mj08,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,78,1
mj08,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,78,0
z419,506,1,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,74,1
z419,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,71,0
z419,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,74,1
z419,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,76,1
z419,8998,1,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,71,0
z419,9158,1,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,76,1
z419,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,74,1
z419,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,76,1
i305,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,77,1
i305,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,77,1
i305,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,74,0
i305,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,74,0
i305,499,1,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,77,1
i305,424,1,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,74,0
cf59,506,1,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,76,1
cf59,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,75,0
cf59,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,76,1
cf59,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,77,1
cf59,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,75,0
