PlayerCode,EventId,PointsGained,iscritto,year,date_tournament,EventName,EventType,EventCountry,Surface,TotPrizeMoney,Same_Nationality
mc65,451,0,0,2025,2025-02-17,Doha,500,Qatar,Hard,2760000,0
mc65,407,0,0,2025,2025-02-03,Rotterdam,500,Netherlands,Hard,2401550,0
mc65,8998,0,0,2025,2025-01-06,Adelaide,250,Australia,Hard,680140,0
mc65,418,0,1,2025,2025-07-21,Washington,500,"DC, U.S.A.",Hard,2396115,0
mc65,321,0,1,2025,2025-06-09,Stuttgart,250,Germany,Grass,751630,0
mc65,301,250,1,2025,2025-01-06,Auckland,250,New Zealand,Hard,680140,0
mc65,339,25,1,2025,2024-12-30,Brisbane,250,Australia,Hard,680140,0
mc65,328,0,0,2025,2025-10-20,Basel,500,Switzerland,Hard,2523045,0
mc65,7485,0,0,2025,2025-10-13,Brussels,250,Belgium,Hard,706850,0
mc65,4713,0,0,2025,2025-09-15,Hangzhou,250,China,Hard,1019185,0
mc65,314,0,0,2025,2025-07-14,Gstaad,250,Switzerland,Clay,596035,0
mc65,807,0,0,2025,2025-02-24,Acapulco,500,Mexico,Hard,2585410,0
mc65,375,0,0,2025,2025-01-27,Montpellier,250,France,Hard,596035,1
mc65,341,0,0,2025,2025-11-03,Metz,250,France,Hard,596035,1
mc65,429,0,0,2025,2025-10-13,Stockholm,250,Sweden,Hard,706850,0
mc65,741,0,0,2025,2025-06-23,Eastbourne,250,Great Britain,Grass,756875,0
mc65,500,0,0,2025,2025-06-16,Halle,500,Germany,Grass,2522220,0
mc65,360,0,0,2025,2025-03-31,Marrakech,250,Morocco,Clay,596035,0
mc65,496,0,0,2025,2025-02-10,Marseille,250,France,Hard,740730,1
mc65,5100,0,0,2025,2025-11-03,Athens,250,Greece,Hard,766715,0
mc65,322,0,0,2025,2025-05-19,Geneva,250,Switzerland,Clay,596035,0
mc65,499,0,0,2025,2025-02-10,Delray Beach,250,"FL, U.S.A.",Hard,680140,0
mc65,424,0,0,2025,2025-02-03,Dallas,500,"TX, U.S.A.",Hard,2760000,0
mc65,6932,0,0,2025,2025-02-17,Rio de Janeiro,500,Brazil,Clay,2396115,0
mc65,506,0,0,2025,2025-02-10,Buenos Aires,250,Argentina,Clay,658390,0
mc65,9410,0,0,2025,2025-10-13,Almaty,250,Kazakhstan,Hard,1055255,0
mc65,329,0,0,2025,2025-09-22,Tokyo,500,Japan,Hard,2226470,0
mc65,7480,0,0,2025,2025-07-14,Los Cabos,250,Mexico,Hard,889890,0
mc65,439,0,0,2025,2025-07-21,Umag,250,Croatia,Clay,596035,0
mc65,425,0,0,2025,2025-04-14,Barcelona,500,Spain,Clay,2889200,0
mc65,337,0,0,2025,2025-10-20,Vienna,500,Austria,Hard,2736875,0
mc65,8996,0,0,2025,2025-02-24,Santiago,250,Chile,Clay,680140,0
mc65,717,0,0,2025,2025-03-31,Houston,250,"TX, U.S.A.",Clay,680140,0
mc65,316,0,0,2025,2025-07-14,Bastad,250,Sweden,Clay,596035,0
gb88,747,25,1,2025,2025-09-22,Beijing,500,China,Hard,4016050,0
gb88,7581,0,0,2025,2025-09-15,Chengdu,250,China,Hard,1190210,0
gb88,336,0,0,2025,2024-12-30,Hong Kong,250,Hong Kong,Hard,680140,0
gb88,6242,0,1,2025,2025-08-18,Winston-Salem,250,"NC, U.S.A.",Hard,798335,0
gb88,319,0,0,2025,2025-07-21,Kitzbuhel,250,Austria,Clay,596035,0
gb88,8994,0,0,2025,2025-06-23,Mallorca,250,Spain,Grass,596035,0
gb88,311,0,0,2025,2025-06-16,London / Queen's Club,500,Great Britain,Grass,2522220,0
gb88,440,0,0,2025,2025-06-09,'s-Hertogenbosch,250,Netherlands,Grass,706850,0
gb88,414,0,0,2025,2025-05-19,Hamburg,500,Germany,Clay,2158560,0
gb88,308,100,1,2025,2025-04-14,Munich,500,Germany,Clay,2500000,0
gb88,4462,0,0,2025,2025-03-31,Bucharest,250,Romania,Clay,596035,0
gb88,495,0,0,2025,2025-02-24,Dubai,500,U.A.E.,Hard,3237670,0
gb88,451,0,0,2025,2025-02-17,Doha,500,Qatar,Hard,2760000,0
gb88,407,0,1,2025,2025-02-03,Rotterdam,500,Netherlands,Hard,2401550,0
gb88,8998,0,1,2025,2025-01-06,Adelaide,250,Australia,Hard,680140,0
gb88,418,0,1,2025,2025-07-21,Washington,500,"DC, U.S.A.",Hard,2396115,0
gb88,321,0,0,2025,2025-06-09,Stuttgart,250,Germany,Grass,751630,0
gb88,301,0,0,2025,2025-01-06,Auckland,250,New Zealand,Hard,680140,0
gb88,339,0,1,2025,2024-12-30,Brisbane,250,Australia,Hard,680140,0
gb88,328,13,1,2025,2025-10-20,Basel,500,Switzerland,Hard,2523045,0
gb88,7485,0,1,2025,2025-10-13,Brussels,250,Belgium,Hard,706850,1
gb88,4713,0,1,2025,2025-09-15,Hangzhou,250,China,Hard,1019185,0
gb88,314,25,1,2025,2025-07-14,Gstaad,250,Switzerland,Clay,596035,0
gb88,807,100,1,2025,2025-02-24,Acapulco,500,Mexico,Hard,2585410,0
gb88,375,0,1,2025,2025-01-27,Montpellier,250,France,Hard,596035,0
gb88,341,0,0,2025,2025-11-03,Metz,250,France,Hard,596035,0
gb88,429,0,0,2025,2025-10-13,Stockholm,250,Sweden,Hard,706850,0
gb88,741,0,0,2025,2025-06-23,Eastbourne,250,Great Britain,Grass,756875,0
gb88,500,0,0,2025,2025-06-16,Halle,500,Germany,Grass,2522220,0
gb88,360,0,0,2025,2025-03-31,Marrakech,250,Morocco,Clay,596035,0
gb88,496,0,0,2025,2025-02-10,Marseille,250,France,Hard,740730,0
gb88,5100,0,0,2025,2025-11-03,Athens,250,Greece,Hard,766715,0
gb88,322,0,0,2025,2025-05-19,Geneva,250,Switzerland,Clay,596035,0
gb88,499,0,0,2025,2025-02-10,Delray Beach,250,"FL, U.S.A.",Hard,680140,0
gb88,424,0,0,2025,2025-02-03,Dallas,500,"TX, U.S.A.",Hard,2760000,0
gb88,6932,0,0,2025,2025-02-17,Rio de Janeiro,500,Brazil,Clay,2396115,0
gb88,506,0,0,2025,2025-02-10,Buenos Aires,250,Argentina,Clay,658390,0
gb88,9410,0,0,2025,2025-10-13,Almaty,250,Kazakhstan,Hard,1055255,0
gb88,329,0,0,2025,2025-09-22,Tokyo,500,Japan,Hard,2226470,0
gb88,7480,0,0,2025,2025-07-14,Los Cabos,250,Mexico,Hard,889890,0
gb88,439,0,0,2025,2025-07-21,Umag,250,Croatia,Clay,596035,0
gb88,425,0,0,2025,2025-04-14,Barcelona,500,Spain,Clay,2889200,0
gb88,337,0,0,2025,2025-10-20,Vienna,500,Austria,Hard,2736875,0
gb88,8996,0,0,2025,2025-02-24,Santiago,250,Chile,Clay,680140,0
gb88,717,0,0,2025,2025-03-31,Houston,250,"TX, U.S.A.",Clay,680140,0
gb88,316,0,0,2025,2025-07-14,Bastad,250,Sweden,Clay,596035,0
su87,747,0,1,2025,2025-09-22,Beijing,500,China,Hard,4016050,0
su87,7581,25,1,2025,2025-09-15,Chengdu,250,China,Hard,1190210,0
su87,336,25,1,2025,2024-12-30,Hong Kong,250,Hong Kong,Hard,680140,0
su87,6242,25,1,2025,2025-08-18,Winston-Salem,250,"NC, U.S.A.",Hard,798335,0
su87,319,0,0,2025,2025-07-21,Kitzbuhel,250,Austria,Clay,596035,0
su87,8994,0,0,2025,2025-06-23,Mallorca,250,Spain,Grass,596035,0
su87,311,0,0,2025,2025-06-16,London / Queen's Club,500,Great Britain,Grass,2522220,0
su87,440,0,0,2025,2025-06-09,'s-Hertogenbosch,250,Netherlands,Grass,706850,0
su87,414,0,0,2025,2025-05-19,Hamburg,500,Germany,Clay,2158560,0
su87,308,0,0,2025,2025-04-14,Munich,500,Germany,Clay,2500000,0
su87,4462,0,0,2025,2025-03-31,Bucharest,250,Romania,Clay,596035,0
su87,495,0,1,2025,2025-02-24,Dubai,500,U.A.E.,Hard,3237670,0
su87,451,0,0,2025,2025-02-17,Doha,500,Qatar,Hard,2760000,0
su87,407,0,1,2025,2025-02-03,Rotterdam,500,Netherlands,Hard,2401550,0
su87,8998,0,0,2025,2025-01-06,Adelaide,250,Australia,Hard,680140,0
su87,418,0,1,2025,2025-07-21,Washington,500,"DC, U.S.A.",Hard,2396115,0
su87,321,0,1,2025,2025-06-09,Stuttgart,250,Germany,Grass,751630,0
su87,301,25,1,2025,2025-01-06,Auckland,250,New Zealand,Hard,680140,0
su87,339,0,0,2025,2024-12-30,Brisbane,250,Australia,Hard,680140,0
su87,328,0,1,2025,2025-10-20,Basel,500,Switzerland,Hard,2523045,0
su87,7485,0,0,2025,2025-10-13,Brussels,250,Belgium,Hard,706850,0
su87,4713,0,0,2025,2025-09-15,Hangzhou,250,China,Hard,1019185,0
su87,314,0,0,2025,2025-07-14,Gstaad,250,Switzerland,Clay,596035,0
su87,807,0,0,2025,2025-02-24,Acapulco,500,Mexico,Hard,2585410,0
su87,375,0,0,2025,2025-01-27,Montpellier,250,France,Hard,596035,0
su87,341,100,1,2025,2025-11-03,Metz,250,France,Hard,596035,0
su87,429,50,1,2025,2025-10-13,Stockholm,250,Sweden,Hard,706850,0
su87,741,25,1,2025,2025-06-23,Eastbourne,250,Great Britain,Grass,756875,0
su87,500,50,1,2025,2025-06-16,Halle,500,Germany,Grass,2522220,0
su87,360,0,1,2025,2025-03-31,Marrakech,250,Morocco,Clay,596035,0
su87,496,50,1,2025,2025-02-10,Marseille,250,France,Hard,740730,0
su87,5100,0,0,2025,2025-11-03,Athens,250,Greece,Hard,766715,0
su87,322,0,0,2025,2025-05-19,Geneva,250,Switzerland,Clay,596035,0
su87,499,0,0,2025,2025-02-10,Delray Beach,250,"FL, U.S.A.",Hard,680140,0
su87,424,0,0,2025,2025-02-03,Dallas,500,"TX, U.S.A.",Hard,2760000,0
su87,6932,0,0,2025,2025-02-17,Rio de Janeiro,500,Brazil,Clay,2396115,0
su87,506,0,0,2025,2025-02-10,Buenos Aires,250,Argentina,Clay,658390,0
su87,9410,0,0,2025,2025-10-13,Almaty,250,Kazakhstan,Hard,1055255,0
su87,329,0,0,2025,2025-09-22,Tokyo,500,Japan,Hard,2226470,0
su87,7480,0,0,2025,2025-07-14,Los Cabos,250,Mexico,Hard,889890,0
su87,439,0,0,2025,2025-07-21,Umag,250,Croatia,Clay,596035,0
su87,425,0,0,2025,2025-04-14,Barcelona,500,Spain,Clay,2889200,0
su87,337,0,0,2025,2025-10-20,Vienna,500,Austria,Hard,2736875,0
su87,8996,0,0,2025,2025-02-24,Santiago,250,Chile,Clay,680140,0
su87,717,0,0,2025,2025-03-31,Houston,250,"TX, U.S.A.",Clay,680140,0
su87,316,0,0,2025,2025-07-14,Bastad,250,Sweden,Clay,596035,0
ki95,747,0,1,2025,2025-09-22,Beijing,500,China,Hard,4016050,0
ki95,7581,0,0,2025,2025-09-15,Chengdu,250,China,Hard,1190210,0
ki95,336,25,1,2025,2024-12-30,Hong Kong,250,Hong Kong,Hard,680140,0
ki95,6242,50,1,2025,2025-08-18,Winston-Salem,250,"NC, U.S.A.",Hard,798335,0
ki95,319,0,0,2025,2025-07-21,Kitzbuhel,250,Austria,Clay,596035,0
ki95,8994,0,0,2025,2025-06-23,Mallorca,250,Spain,Grass,596035,0
ki95,311,0,0,2025,2025-06-16,London / Queen's Club,500,Great Britain,Grass,2522220,0
ki95,440,0,0,2025,2025-06-09,'s-Hertogenbosch,250,Netherlands,Grass,706850,0
ki95,414,0,0,2025,2025-05-19,Hamburg,500,Germany,Clay,2158560,0
ki95,308,50,1,2025,2025-04-14,Munich,500,Germany,Clay,2500000,0
ki95,4462,0,0,2025,2025-03-31,Bucharest,250,Romania,Clay,596035,0
ki95,495,0,0,2025,2025-02-24,Dubai,500,U.A.E.,Hard,3237670,0
ki95,451,0,0,2025,2025-02-17,Doha,500,Qatar,Hard,2760000,0
ki95,407,0,0,2025,2025-02-03,Rotterdam,500,Netherlands,Hard,2401550,0
ki95,8998,100,1,2025,2025-01-06,Adelaide,250,Australia,Hard,680140,0
ki95,418,0,1,2025,2025-07-21,Washington,500,"DC, U.S.A.",Hard,2396115,0
ki95,321,0,0,2025,2025-06-09,Stuttgart,250,Germany,Grass,751630,0
ki95,301,0,0,2025,2025-01-06,Auckland,250,New Zealand,Hard,680140,0
ki95,339,0,0,2025,2024-12-30,Brisbane,250,Australia,Hard,680140,0
ki95,328,0,1,2025,2025-10-20,Basel,500,Switzerland,Hard,2523045,0
ki95,7485,0,0,2025,2025-10-13,Brussels,250,Belgium,Hard,706850,0
ki95,4713,0,0,2025,2025-09-15,Hangzhou,250,China,Hard,1019185,0
ki95,314,0,0,2025,2025-07-14,Gstaad,250,Switzerland,Clay,596035,0
ki95,807,0,1,2025,2025-02-24,Acapulco,500,Mexico,Hard,2585410,0
ki95,375,0,0,2025,2025-01-27,Montpellier,250,France,Hard,596035,0
ki95,341,0,0,2025,2025-11-03,Metz,250,France,Hard,596035,0
ki95,429,25,1,2025,2025-10-13,Stockholm,250,Sweden,Hard,706850,0
ki95,741,0,1,2025,2025-06-23,Eastbourne,250,Great Britain,Grass,756875,0
ki95,500,0,1,2025,2025-06-16,Halle,500,Germany,Grass,2522220,0
ki95,360,0,0,2025,2025-03-31,Marrakech,250,Morocco,Clay,596035,0
ki95,496,0,0,2025,2025-02-10,Marseille,250,France,Hard,740730,0
ki95,5100,50,1,2025,2025-11-03,Athens,250,Greece,Hard,766715,0
ki95,322,0,1,2025,2025-05-19,Geneva,250,Switzerland,Clay,596035,0
ki95,499,250,1,2025,2025-02-10,Delray Beach,250,"FL, U.S.A.",Hard,680140,0
ki95,424,0,1,2025,2025-02-03,Dallas,500,"TX, U.S.A.",Hard,2760000,0
ki95,6932,0,0,2025,2025-02-17,Rio de Janeiro,500,Brazil,Clay,2396115,0
ki95,506,0,0,2025,2025-02-10,Buenos Aires,250,Argentina,Clay,658390,0
ki95,9410,0,0,2025,2025-10-13,Almaty,250,Kazakhstan,Hard,1055255,0
ki95,329,0,0,2025,2025-09-22,Tokyo,500,Japan,Hard,2226470,0
ki95,7480,0,0,2025,2025-07-14,Los Cabos,250,Mexico,Hard,889890,0
ki95,439,0,0,2025,2025-07-21,Umag,250,Croatia,Clay,596035,0
ki95,425,0,0,2025,2025-04-14,Barcelona,500,Spain,Clay,2889200,0
ki95,337,0,0,2025,2025-10-20,Vienna,500,Austria,Hard,2736875,0
ki95,8996,0,0,2025,2025-02-24,Santiago,250,Chile,Clay,680140,0
ki95,717,0,0,2025,2025-03-31,Houston,250,"TX, U.S.A.",Clay,680140,0
ki95,316,0,0,2025,2025-07-14,Bastad,250,Sweden,Clay,596035,0
mp20,747,50,1,2025,2025-09-22,Beijing,500,China,Hard,4016050,0
mp20,7581,0,0,2025,2025-09-15,Chengdu,250,China,Hard,1190210,0
mp20,336,250,1,2025,2024-12-30,Hong Kong,250,Hong Kong,Hard,680140,0
mp20,6242,25,1,2025,2025-08-18,Winston-Salem,250,"NC, U.S.A.",Hard,798335,0
mp20,319,0,0,2025,2025-07-21,Kitzbuhel,250,Austria,Clay,596035,0
mp20,8994,0,1,2025,2025-06-23,Mallorca,250,Spain,Grass,596035,0
mp20,311,0,0,2025,2025-06-16,London / Queen's Club,500,Great Britain,Grass,2522220,0
mp20,440,0,0,2025,2025-06-09,'s-Hertogenbosch,250,Netherlands,Grass,706850,0
mp20,414,100,1,2025,2025-05-19,Hamburg,500,Germany,Clay,2158560,0
mp20,308,0,1,2025,2025-04-14,Munich,500,Germany,Clay,2500000,0
mp20,4462,0,0,2025,2025-03-31,Bucharest,250,Romania,Clay,596035,0
mp20,495,0,0,2025,2025-02-24,Dubai,500,U.A.E.,Hard,3237670,0
mp20,451,0,0,2025,2025-02-17,Doha,500,Qatar,Hard,2760000,0
mp20,407,0,0,2025,2025-02-03,Rotterdam,500,Netherlands,Hard,2401550,0
mp20,8998,0,0,2025,2025-01-06,Adelaide,250,Australia,Hard,680140,0
mp20,418,25,1,2025,2025-07-21,Washington,500,"DC, U.S.A.",Hard,2396115,0
mp20,321,0,0,2025,2025-06-09,Stuttgart,250,Germany,Grass,751630,0
mp20,301,0,0,2025,2025-01-06,Auckland,250,New Zealand,Hard,680140,0
mp20,339,0,0,2025,2024-12-30,Brisbane,250,Australia,Hard,680140,0
mp20,328,0,1,2025,2025-10-20,Basel,500,Switzerland,Hard,2523045,0
mp20,7485,0,0,2025,2025-10-13,Brussels,250,Belgium,Hard,706850,0
mp20,4713,0,0,2025,2025-09-15,Hangzhou,250,China,Hard,1019185,0
mp20,314,0,0,2025,2025-07-14,Gstaad,250,Switzerland,Clay,596035,0
